"Term","Subj","Crse","Crse_Title","CRN","Sect","POT","Camp","Sche_Typ","Inst_Mthd","Contract_Type","Apprv_Seat_Lim","Sect_Seat_Lim","Sect_Seats_Taken","Sect_Seats_Avail","percent_utilization","Start_Dt","End_Dt","Days","Beg_Time","End_Time","Bldg","Rm","Rm_Cap","Instructor","Contract_Type"
202402,MAT,103,"Statistics I",38177,051,LS,E,LEC,BLBD,,35,35,0,35,0,2/28/2024,5/14/2024,,,,ONLNEE,ONLINE,999,,
202402,MAT,104,"Statistics II",21106,003,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,MW,12:30PM,1:45PM,RIVRHE,236,32,,
202402,MAT,104,"Statistics II",32911,002,FD,W,LEC,TR,,35,35,0,35,0,1/22/2024,5/14/2024,TR,09:30AM,10:45AM,SFCUA,A335,34,,
202402,MAT,104,"Statistics II",33719,004,FE,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,T,6:00PM,8:45PM,RIVRHE,202,32,,
202402,MAT,106,"Mathematics for Health Science",37451,001,FD,W,LEC,TR,,35,35,0,35,0,1/22/2024,5/14/2024,TR,2:00PM,3:15PM,SFCUA,A113,36,,
202402,MAT,107,"Computer Mathematics Concepts",21094,001,FD,A,LEC,TR,,35,30,0,30,0,1/22/2024,5/14/2024,TR,11:30AM,1:10PM,RIVRHE,204,32,,
202402,MAT,107,"Computer Mathematics Concepts",37452,002,FD,W,L/L,TR,,35,30,0,30,0,1/22/2024,5/14/2024,TR,1:30PM,3:10PM,SFCUA,A116,29,,
202402,MAT,111,"Algebra II",20808,027,FE,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,MW,4:00PM,5:40PM,RIVRHE,204,32,,
202402,MAT,111,"Algebra II",20809,019,FD,A,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,MW,12:30PM,2:10PM,ONLNEA,"RLTIME ONL",999,,
202402,MAT,111,"Algebra II",21110,005,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,TR,09:30AM,11:10AM,RIVRHE,211,32,,
